Before,Change,After
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.3,-0.30000000000000004,1.0
0.7,-0.19999999999999996,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.5,-0.5,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.3,-0.30000000000000004,1.0
1.0,-0.5,0.5
2.5,-1.5,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.2,-0.19999999999999996,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.7,0.0,0.7
1.2,-0.19999999999999996,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.19999999999999996,0.7
1.0,0.0,1.0
2.0,0.0,2.0
0.7,0.30000000000000004,1.0
1.2,-0.19999999999999996,1.0
16.0,-1.1999999999999993,14.8
0.7,-0.19999999999999996,0.5
1.8,-0.8,1.0
0.7,-0.19999999999999996,0.5
1.8,-0.8,1.0
0.5,0.0,0.5
1.0,0.0,1.0
2.0,0.0,2.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.2,-0.19999999999999996,1.0
0.8,-0.30000000000000004,0.5
1.0,0.0,1.0
0.7,0.0,0.7
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.3,-0.30000000000000004,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
2.0,0.0,2.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.7,-0.19999999999999996,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.5,1.0
1.0,0.0,1.0
0.5,0.0,0.5
2.5,-1.5,1.0
0.7,-0.19999999999999996,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.5,-0.5,1.0
0.5,0.0,0.5
1.5,-0.5,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
0.5,0.0,0.5
1.0,0.0,1.0
2.0,0.0,2.0
0.5,0.0,0.5
1.5,-0.5,1.0
0.5,0.19999999999999996,0.7
2.0,-0.8999999999999999,1.1
3.0,-1.0,2.0
0.7,0.0,0.7
